0,1,2,3,4,5,6
华侨北门,31.458065,121.143442,太仓108路;太仓124路;太仓125路,null,null,0
凯明科技园,31.473996,121.148612,太仓207路,null,null,0
常胜路,31.472989,121.148311,太仓109路,null,null,0
宝龙广场,31.470145,121.150802,太仓109路;太仓118路;太仓203路;太仓203路a线;太仓207路,null,null,0
禅寺路,31.481003,121.15233,太仓203路;太仓203路a线,null,null,0
市一医院上海路,31.469129,121.152953,太仓109路;太仓128路;太仓201路;太仓202路;太仓203路;太仓203路a线;太仓209路,null,null,0
东盛商业广场,31.467146,121.14943,太仓115路;太仓116路;太仓126路;太仓128路;太仓201路;太仓202路;太仓207路;太仓211路夜班,null,null,0
横沥桥兴业路,31.47293,121.158262,太仓203路;太仓203路a线,null,null,0
横沥桥,31.471699,121.157781,太仓109路;太仓128路;太仓201路;太仓202路;太仓209路,null,null,0
市一医院常胜路,31.466851,121.153084,太仓115路;太仓116路;太仓118路;太仓209路;太仓211路夜班,null,null,0
市一医院,31.466933,121.153566,太仓124路;太仓126路,null,null,0
东盛商业广场娄江路站,31.463822,121.148767,太仓107路,null,null,0
市一医院朝阳路站,31.46506,121.15605,太仓107路;太仓108路;太仓115路;太仓116路;太仓125路,null,null,0
世福二园,31.463101,121.152551,太仓107路;太仓124路,null,null,0
朝阳路车站,31.465862,121.157607,太仓105路;太仓107路;太仓108路;太仓115路;太仓116路;太仓118路;太仓125路;太仓128路;太仓209路;太仓211路夜班;太嘉线,null,null,0
外贸创业园,31.461234,121.149104,太仓108路;太仓124路;太仓125路,null,null,0
新区第三小学,31.460665,121.151254,太仓108路;太仓125路,null,null,0
景瑞地产,31.461897,121.156301,太仓108路;太仓118路;太仓125路,null,null,0
国防中心,31.475387,121.166493,太仓109路;太仓201路;太仓202路;太仓209路,null,null,0
太胜工业园,31.466118,121.163091,太仓105路,null,null,0
发达路,31.492637,121.148843,太仓207路;太仓208路,null,null,0
锦绣北门,31.458615,121.157512,太仓108路;太仓118路;太仓125路,null,null,0
浏阳路(临时站),31.458441,121.164494,太仓105路,null,null,0
浏阳路,31.457921,121.164783,太仓105路,null,null,0
新安医院,31.477398,121.173317,太仓109路;太仓201路;太仓202路;太仓209路,null,null,0
中市西路,31.465566,121.168357,太仓107路;太仓116路;太仓211路夜班,null,null,0
富达路,31.467477,121.175398,太仓107路;太仓116路;太仓211路夜班,null,null,0
玲珑湾,31.468351,121.178541,太仓107路;太仓116路,null,null,0
江南橡胶,31.479218,121.182374,太仓109路;太仓201路;太仓202路;太仓209路,null,null,0
瑞德工业区,31.469486,121.18225,太仓211路夜班,null,null,0
陆渡教育园,31.469794,121.183161,太仓107路;太仓116路,null,null,0
白云渡路,31.47226,121.188897,太仓107路;太仓116路;太仓211路夜班,null,null,0
花园街,31.4749,121.193842,太仓107路;太仓116路,null,null,0
陆渡中学,31.474983,121.193992,太仓211路夜班,null,null,0
陆渡菜场,31.476113,121.196144,太仓107路;太仓116路;太仓211路夜班,null,null,0
陆渡,31.482628,121.195598,太仓109路;太仓201路;太仓202路;太仓209路,null,null,0
陆嘉路,31.477892,121.199439,太仓107路;太仓116路,null,null,0
飞沪路,31.477893,121.199511,太仓211路夜班,null,null,0
崇恩寺,31.487872,121.191995,太仓109路,null,null,0
东方路,31.479313,121.202271,太仓107路;太仓116路,null,null,0
倪家桥,31.484723,121.200538,太仓201路;太仓202路;太仓209路;太仓211路夜班,null,null,0
同维电子,31.492162,121.190205,太仓109路,null,null,0
东城花苑,31.481167,121.205735,太仓107路;太仓116路,null,null,0
苗圃,31.488494,121.209482,太仓107路;太仓116路;太仓201路;太仓202路;太仓209路;太仓211路夜班,null,null,0
长桥,31.491359,121.216165,太仓201路;太仓202路;太仓209路;太仓211路夜班,null,null,0
三和路,31.493134,121.224692,太仓201路;太仓209路;太仓211路夜班,null,null,0
横塘车站,31.470838,121.228648,嘉定107路,null,null,0
横塘车站(5:50-7:10班次起点站),31.470333,121.228667,嘉定107路,null,null,0
赵家宅,31.473573,121.236698,嘉定107路,null,null,0
横泾,31.476216,121.244371,嘉定107路;嘉定64路,null,null,0
连俊村(7:10以后班次起点站),31.47488,121.24453,嘉定107路,null,null,0
浏岛休养院,31.486362,121.242949,嘉定64路,null,null,0
唐行镇,31.470316,121.24598,嘉定107路;嘉定64路;嘉唐华线,null,null,0
唐行镇(招呼站),31.470272,121.245997,沪唐专线,null,null,0
油车桥,31.460928,121.240291,沪唐专线,null,null,0
油家桥,31.460678,121.240086,嘉唐华线,null,null,0
唐行,31.466369,121.246065,沪唐专线,null,null,0
杨泉桥,31.47361,121.248562,沪唐专线;嘉唐华线,null,null,0
毛桥,31.478169,121.257248,嘉唐华线,null,null,0
毛桥村,31.478326,121.257455,沪唐专线,null,null,0
钱家宅,31.465194,121.248669,嘉定107路;嘉定64路,null,null,0
唐行毛家桥,31.479733,121.261868,沪唐专线,null,null,0
